City,State,Latitude,Longitude,Population,Annual Checkup,Arthritis,Binge Drinking,Cancer (except skin),Cholesterol Screening,Chronic Kidney Disease,Colorectal Cancer Screening,COPD,Core preventive services for older men,Core preventive services for older women,Coronary Heart Disease,Current Asthma,Current Smoking,Dental Visit,Diabetes,Health Insurance,High Blood Pressure,High Cholesterol,Mammography,Mental Health,Obesity,Pap Smear Test,Physical Health,Physical Inactivity,Sleep <7 hours,Stroke,Taking BP Medication,Teeth Loss
Washington,DC,38.9294302133,-77.0346297537,4277,73.3,15.2,25.1,3.6,70.1,2.6,59.7,5.1,26.0,22.5,4.0,9.8,20.2,67.7,8.4,13.5,23.8,29.9,80.0,12.7,25.4,85.4,10.0,20.4,36.4,2.6,68.0,18.4
Baltimore,MD,39.2888746051,-76.5858888931,1724,68.9,16.4,25.4,4.7,78.5,1.7,73.5,3.5,48.0,44.7,3.3,9.0,13.7,74.5,4.9,6.5,20.7,27.0,82.7,9.6,22.7,,6.3,14.3,33.1,1.5,67.5,6.8
Baltimore,MD,39.2994991766,-76.5859396351,1042,78.1,30.4,12.4,4.5,67.9,4.6,53.0,10.5,24.1,23.7,8.0,14.8,31.1,35.4,19.2,19.8,47.4,38.7,84.1,19.1,46.5,,18.0,41.3,50.4,6.5,78.5,34.7
Richmond,VA,37.575195953,-77.420670838,4016,80.8,32.6,11.4,6.2,77.2,5.0,58.7,9.9,22.9,27.1,9.2,12.0,24.6,50.1,21.6,21.0,50.7,40.4,84.4,15.3,43.8,85.1,18.0,37.5,45.6,7.1,84.5,28.6
Richmond,VA,37.5617516123,-77.474045358,1810,64.4,10.4,26.6,2.8,66.8,1.4,68.7,2.9,38.9,41.7,2.2,8.0,14.0,75.3,3.7,9.3,15.6,21.6,84.1,11.0,21.5,83.7,6.1,13.4,31.4,1.1,59.2,8.2
Richmond,VA,37.5457062766,-77.4359920311,2055,67.8,12.6,20.7,2.3,58.6,2.0,60.5,4.4,25.8,28.5,2.9,10.1,20.0,60.6,6.8,15.4,21.6,23.5,86.2,15.4,28.9,81.6,9.3,22.0,38.5,2.0,63.7,19.7
Baltimore,MD,39.2993914631,-76.6555846963,4245,81.7,32.6,13.0,6.0,78.4,4.3,61.8,8.8,27.9,28.0,8.0,13.8,24.5,47.5,18.8,14.4,48.3,37.8,85.2,15.0,42.9,,15.2,35.1,48.4,6.0,82.2,24.8
Washington,DC,38.9102026489,-77.0341232003,6077,72.7,10.6,33.4,3.5,79.5,1.4,72.6,2.6,37.0,34.1,2.3,7.8,12.7,84.4,3.9,4.6,15.8,23.8,81.8,8.3,17.9,88.2,5.1,9.3,31.3,1.2,62.3,6.2
Washington,DC,38.9844966511,-77.0378304126,3957,86.1,23.6,19.0,7.8,90.5,3.0,76.4,4.1,34.8,33.0,5.3,8.8,9.3,85.9,10.7,3.6,37.9,36.5,84.2,6.6,23.7,89.9,7.3,12.8,33.1,3.2,83.5,6.5
Washington,DC,38.9338959682,-77.0108784659,2036,85.5,29.9,15.2,10.5,84.4,4.5,70.4,7.3,34.6,26.0,13.3,7.8,11.3,76.1,13.6,6.9,44.1,42.4,82.2,7.7,21.4,86.3,10.6,19.7,31.0,5.9,85.3,14.1
Richmond,VA,37.4979957346,-77.4768076721,2398,75.4,27.0,13.9,4.8,69.5,4.0,56.4,9.0,23.8,27.7,7.2,12.0,27.2,48.5,16.8,26.1,43.0,38.1,83.3,16.9,41.5,83.5,17.2,36.9,45.1,5.3,79.5,29.6
Baltimore,MD,39.2655116631,-76.5868397895,2699,69.1,17.0,26.8,5.1,80.0,1.6,74.7,3.5,49.3,46.8,3.3,8.9,13.6,76.8,4.7,5.6,20.4,27.4,83.0,9.3,21.3,,6.1,13.2,32.2,1.4,68.6,6.0
Baltimore,MD,39.2307356553,-76.601525886,4930,72.0,25.9,16.8,4.6,67.1,3.3,54.9,9.1,32.1,29.7,6.4,13.5,29.9,43.9,11.9,17.6,35.2,35.0,80.9,18.5,38.0,,15.1,34.2,45.2,4.0,72.6,25.9
Baltimore,MD,39.2758586636,-76.6105164594,2141,67.4,13.8,28.1,4.1,76.0,1.4,74.5,2.8,50.3,46.0,2.6,8.8,12.6,76.3,3.9,5.3,17.5,23.9,83.5,9.3,20.7,,5.2,12.1,32.1,1.2,63.9,5.7
Baltimore,MD,39.2878237107,-76.6917625984,2267,81.4,31.1,13.5,6.1,77.8,3.9,64.9,8.1,31.4,30.9,7.4,13.4,23.2,50.7,16.7,13.7,46.4,37.5,84.7,14.2,40.4,,13.8,33.1,46.8,5.2,81.8,21.9
Richmond,VA,37.5105142891,-77.4653396612,5148,78.2,28.7,13.2,5.6,73.7,4.3,58.5,8.8,24.1,27.0,7.8,11.7,24.8,52.3,17.8,20.5,45.5,38.3,84.5,15.7,41.1,84.1,16.4,34.7,44.6,5.8,81.9,27.0
Baltimore,MD,39.3070300588,-76.6550670324,2478,80.8,30.8,13.4,5.4,75.8,4.1,60.8,8.6,26.8,27.4,7.5,14.0,25.8,45.6,17.8,15.9,46.9,37.2,84.8,15.6,42.5,,15.0,35.8,48.5,5.7,80.9,26.0
Baltimore,MD,39.3077439774,-76.6256565781,4974,73.8,21.6,19.6,5.4,74.2,2.6,72.1,5.0,38.8,36.2,5.3,10.8,14.9,67.8,9.4,8.1,29.5,31.5,83.8,11.5,25.3,,8.4,19.8,35.8,2.9,78.6,12.2
Alexandria,VA,38.8200589328,-77.1168077443,4222,72.7,20.2,18.0,5.3,79.7,2.3,70.2,4.5,42.7,38.7,4.4,8.2,14.6,68.7,8.3,13.6,28.5,31.8,82.3,10.3,26.7,85.4,9.4,19.5,33.3,2.2,75.2,11.1
Baltimore,MD,39.3652544146,-76.5385129832,4420,74.9,26.4,19.9,6.7,81.8,2.6,69.3,6.4,44.0,40.1,6.1,10.6,19.5,65.9,9.5,9.0,32.3,34.4,81.6,11.9,29.6,,10.3,22.7,38.4,2.9,76.9,12.1
Richmond,VA,37.5486024512,-77.4666921411,3724,65.0,11.2,25.0,2.7,62.0,1.6,65.7,3.5,34.4,36.8,2.6,8.7,16.6,70.2,4.7,11.9,17.7,22.7,84.2,12.7,23.2,81.4,7.2,16.6,33.4,1.4,61.7,13.0
Washington,DC,38.8358693482,-77.0040831938,2758,83.0,26.4,16.4,4.5,73.5,4.4,54.6,9.9,19.1,18.7,6.9,13.8,31.2,52.3,17.1,13.9,42.8,37.2,82.4,17.4,40.6,86.7,16.8,31.9,48.2,6.1,77.6,31.9
Washington,DC,38.8292134165,-77.0117531092,3072,84.2,24.6,18.6,5.2,77.8,3.7,64.4,7.4,24.4,23.8,6.1,12.1,23.5,65.1,14.6,10.4,42.9,37.3,82.5,13.1,35.0,87.4,12.8,24.6,44.5,4.8,79.4,21.4
Baltimore,MD,39.3000683365,-76.5528511855,1996,68.0,23.3,17.6,4.0,64.0,3.2,53.7,8.6,31.4,30.0,6.1,12.3,29.3,40.7,11.8,25.0,32.9,35.4,79.3,17.9,36.6,,15.2,36.3,43.9,3.7,70.2,27.7
Baltimore,MD,39.3365315414,-76.6165316053,4790,73.4,23.0,17.9,6.7,79.0,2.5,73.6,4.7,45.9,41.5,5.6,8.9,11.9,71.6,7.9,6.3,27.4,33.3,82.1,9.2,21.7,,7.6,17.7,33.0,2.4,78.1,8.0
Baltimore,MD,39.3515529167,-76.6693332738,5648,82.7,33.5,13.2,7.1,80.4,4.2,67.3,8.3,31.9,31.8,8.5,12.8,21.2,53.3,18.2,13.1,49.9,39.7,84.5,12.8,39.2,,13.7,32.7,45.4,5.7,84.1,20.3
Washington,DC,38.8779399447,-76.9353606595,3867,84.9,27.9,16.0,6.0,78.2,4.5,60.9,8.6,22.1,19.9,7.6,12.2,23.7,60.9,16.9,11.0,44.4,37.8,82.7,13.7,36.2,87.6,14.4,28.3,44.4,6.3,81.2,26.3
Richmond,VA,37.5524109384,-77.4349361146,2895,77.6,30.8,9.6,4.4,63.3,5.5,48.3,12.8,16.9,19.6,9.2,15.1,34.6,33.5,22.1,29.8,48.0,39.8,84.2,23.0,49.7,83.0,23.0,47.1,50.1,8.3,79.8,45.6
Baltimore,MD,39.284096976,-76.6482121328,1836,74.2,30.4,13.7,4.5,66.2,4.2,49.6,11.8,26.5,25.3,7.9,15.5,35.7,34.1,16.9,20.8,42.9,38.6,81.4,21.5,43.8,,19.3,42.1,49.5,5.9,75.8,36.0
Alexandria,VA,38.8077581153,-77.131138421,6744,69.7,14.5,20.0,3.4,75.0,1.8,68.6,3.4,40.0,39.5,2.7,8.5,15.4,66.6,6.3,13.6,23.1,25.8,83.2,11.0,26.9,86.2,8.1,17.8,35.2,1.6,67.0,10.1
Baltimore,MD,39.3505006659,-76.6535300079,985,82.9,34.7,12.2,8.1,86.2,4.3,71.4,7.4,34.1,33.8,8.2,11.7,16.5,60.9,17.8,9.6,48.4,39.5,85.3,10.8,35.9,,12.2,28.6,41.5,5.4,86.1,15.5
Washington,DC,38.9670714952,-77.0397349624,3514,81.0,20.9,20.2,4.8,78.7,3.2,63.9,6.1,25.6,23.1,5.1,11.0,20.2,68.5,11.7,11.2,33.9,33.1,82.2,12.1,31.1,87.7,11.3,22.0,41.1,3.8,76.0,18.9
Baltimore,MD,39.257933256,-76.5481498055,4795,72.0,30.1,16.9,6.6,73.7,3.6,60.1,9.7,35.4,31.8,8.5,11.8,25.0,50.9,12.7,16.2,36.0,39.0,79.4,15.7,33.2,,14.9,32.2,39.9,4.4,77.3,22.2
Baltimore,MD,39.3181228334,-76.6237362181,2476,70.1,19.4,21.6,4.5,70.9,2.2,66.6,5.3,41.6,39.0,4.4,10.5,20.1,61.9,7.5,10.3,27.4,31.1,81.7,12.8,27.2,,9.1,21.6,38.6,2.3,70.4,12.9
Baltimore,MD,39.3649518845,-76.6615577408,4183,75.0,24.4,19.6,7.3,86.1,2.3,75.5,4.4,48.9,44.2,5.1,9.2,11.5,77.3,7.5,4.7,29.0,34.1,84.0,8.7,23.7,,7.4,15.3,32.3,2.2,78.0,6.1
Richmond,VA,37.5554012561,-77.507831944,2378,77.4,25.5,17.6,9.2,90.9,2.4,77.6,4.2,46.6,49.7,5.7,7.2,8.2,86.6,8.0,4.4,31.2,37.9,83.5,6.9,21.8,86.9,7.4,13.0,26.7,2.2,82.7,4.2
