Location,Annual Checkup,Arthritis,Binge Drinking,Cancer (except skin),Cholesterol Screening,Chronic Kidney Disease,Colorectal Cancer Screening,COPD,Core preventive services for older men,Core preventive services for older women,Coronary Heart Disease,Current Asthma,Current Smoking,Dental Visit,Diabetes,Health Insurance,High Blood Pressure,High Cholesterol,Mammography,Mental Health,Obesity,Pap Smear Test,Physical Health,Physical Inactivity,Sleep <7 hours,Stroke,Taking BP Medication,Teeth Loss
"Green Bay, WI",69.3,24.1,25.5,6.0,72.0,2.8,65.3,6.6,29.2,26.5,6.3,9.5,20.6,67.4,9.6,13.6,29.9,34.8,78.5,13.3,34.0,83.7,12.7,23.5,35.9,3.1,72.2,16.3
"Abilene, TX",66.5,23.6,17.9,5.8,68.1,2.9,58.0,6.5,33.1,31.4,6.2,9.3,20.8,53.1,10.7,22.6,30.3,36.8,76.1,13.3,34.2,80.5,13.0,27.9,33.2,3.2,75.0,15.7
"Beaumont, TX",72.5,25.0,15.3,5.7,71.4,3.3,60.1,6.6,30.8,26.0,6.5,9.9,19.9,53.9,13.7,22.2,36.5,37.7,78.2,13.2,39.1,82.0,13.5,30.3,37.7,4.0,78.5,17.8
"Citrus Heights, CA",64.4,22.0,19.6,6.6,73.5,2.9,72.5,6.7,32.5,28.4,6.0,10.1,16.4,65.9,9.0,9.9,30.5,33.1,78.7,13.2,27.9,82.6,12.7,19.8,35.3,3.0,68.8,11.8
"Greensboro, NC",74.1,22.7,16.0,5.5,75.4,2.9,69.0,6.1,40.6,37.7,5.6,9.1,19.6,58.0,10.5,17.6,33.2,35.0,81.6,13.2,35.5,85.8,11.4,22.9,35.6,3.4,74.7,16.0
"Kenosha, WI",69.5,23.4,24.4,5.9,72.3,2.8,67.9,6.3,29.9,29.7,6.1,9.6,20.7,64.7,9.2,13.9,28.8,34.6,79.7,13.2,32.3,85.1,12.3,22.6,34.8,3.0,72.7,15.3
"Dallas, TX",68.8,20.4,16.9,4.8,67.0,3.0,57.5,5.8,30.8,27.0,5.6,9.4,18.3,54.6,11.7,28.5,31.7,36.1,75.8,13.2,35.2,81.2,12.8,29.9,34.7,3.3,72.8,17.0
"Newport News, VA",74.8,24.0,15.6,5.5,75.4,2.8,65.7,6.1,36.0,34.3,5.5,9.7,19.7,64.5,11.3,15.3,34.0,33.6,81.3,13.2,33.6,85.1,11.7,23.4,38.1,3.2,75.8,16.0
"Kenner, LA",72.4,25.4,17.7,5.9,75.0,3.0,62.0,7.1,29.9,29.6,7.0,8.6,19.7,58.2,12.1,17.4,36.0,39.2,80.8,13.2,33.5,83.2,13.1,27.3,38.4,3.4,80.1,15.5
"Bethlehem, PA",71.1,27.7,18.7,6.7,71.8,2.9,62.9,6.6,39.4,32.0,6.7,10.1,18.2,62.2,10.1,12.4,31.0,34.6,78.3,13.2,31.4,81.0,12.5,27.2,37.1,3.1,77.2,15.6
"Sacramento, CA",64.5,19.2,16.8,5.2,70.1,3.0,68.6,5.9,29.0,25.8,5.4,9.9,15.7,60.5,10.4,13.2,30.3,32.1,79.7,13.2,28.1,81.6,12.7,22.7,37.8,3.0,67.7,13.0
"Visalia, CA",64.3,20.0,18.3,5.5,71.7,3.0,64.3,6.3,36.5,28.4,5.8,9.2,16.1,60.9,10.4,15.1,27.9,34.0,77.8,13.1,33.4,85.0,13.1,23.1,32.8,3.0,68.8,14.5
"Kent, WA",59.8,21.6,16.8,5.3,68.0,2.9,61.7,5.9,37.6,32.6,5.2,10.0,16.1,62.1,9.2,14.0,27.2,34.6,76.4,13.1,27.4,,12.2,19.1,33.6,2.8,64.7,12.8
"Vancouver, WA",61.8,25.5,16.6,6.4,71.2,2.9,68.3,6.6,36.0,33.2,5.9,10.2,17.5,66.3,9.6,10.9,29.1,36.6,76.4,13.1,31.1,,12.8,18.8,32.4,3.0,68.5,13.7
"Concord, NC",73.9,22.7,15.8,6.0,78.1,2.8,66.9,6.5,39.2,33.3,5.9,8.5,19.7,64.4,9.8,17.1,32.5,33.6,79.6,13.1,33.1,86.0,12.1,24.0,32.8,3.1,75.0,17.4
"Peoria, IL",69.5,26.6,18.6,6.4,72.8,3.1,61.7,7.1,34.7,29.4,6.6,10.1,20.1,59.3,10.8,12.1,32.5,35.6,78.0,13.1,35.3,83.4,13.7,26.1,33.7,3.5,76.4,16.6
"Largo, FL",77.5,30.6,16.9,9.0,80.2,3.7,64.6,10.0,33.7,33.2,9.8,7.9,20.7,58.6,12.1,19.6,36.1,39.0,75.7,13.1,28.3,77.1,15.4,31.0,37.7,4.5,81.0,18.3
"Norfolk, VA",74.7,21.2,20.2,4.7,71.3,2.6,64.9,5.8,33.4,32.6,5.1,9.6,20.0,62.3,9.9,15.6,30.3,30.9,83.4,13.1,32.7,84.3,11.4,22.6,41.2,3.0,74.3,17.3
"Miami, FL",75.3,19.7,14.8,5.3,72.6,4.1,47.4,7.1,20.5,18.2,7.6,7.4,16.6,53.3,14.6,36.2,32.5,38.3,83.0,13.1,29.5,82.0,15.5,42.2,34.8,4.2,78.4,19.4
"Lubbock, TX",66.6,21.1,18.6,5.2,66.7,2.7,60.6,5.7,31.3,28.1,5.5,9.2,17.9,52.2,9.7,22.7,29.6,36.7,76.8,13.1,35.2,79.5,11.8,27.5,35.0,2.8,72.8,14.4
"Riverside, CA",63.6,18.0,18.7,4.7,68.1,2.7,66.2,5.2,30.3,30.9,4.9,8.8,15.2,60.8,9.1,16.1,26.4,31.9,81.0,13.1,28.1,83.9,12.2,23.3,38.7,2.6,65.7,13.9
"Auburn, WA",60.2,23.3,17.6,5.9,69.7,2.9,63.4,6.4,38.2,33.0,5.7,10.1,16.2,64.5,9.1,12.2,27.8,35.6,76.1,13.1,27.7,,12.4,18.3,32.7,3.0,66.2,13.6
"St. Petersburg, FL",76.9,25.1,18.9,7.0,78.7,3.1,64.3,7.8,34.0,33.9,7.1,8.1,20.3,60.4,10.8,18.3,32.5,34.6,78.2,13.0,29.4,79.2,13.3,27.8,39.8,3.7,77.9,16.1
"Spokane Valley, WA",63.6,25.5,18.1,7.2,73.0,3.0,66.8,7.4,37.3,34.9,6.5,10.7,18.6,63.9,9.6,9.6,30.2,37.9,79.4,13.0,30.1,,13.1,19.0,31.8,3.2,71.9,15.8
"Fort Lauderdale, FL",77.1,23.2,17.2,6.6,78.7,3.1,61.6,7.4,34.3,29.8,6.9,8.0,17.9,61.2,11.9,21.2,34.0,38.1,82.8,13.0,28.4,81.6,13.4,28.0,37.4,3.8,76.5,14.3
"Bellflower, CA",65.5,17.3,16.7,4.6,72.0,2.8,60.5,5.2,26.6,32.3,4.7,8.6,14.4,58.6,10.1,16.8,27.1,32.6,79.0,13.0,26.7,84.5,12.6,22.3,38.2,2.7,67.2,11.7
"Denton, TX",66.1,17.6,19.5,4.6,64.3,2.2,63.8,4.8,35.6,32.1,4.2,9.1,17.8,61.1,7.5,19.7,24.4,31.9,74.5,13.0,31.1,81.2,10.1,22.2,31.0,2.1,69.2,11.2
"Clearwater, FL",76.6,27.0,18.2,7.8,78.8,3.3,64.9,8.5,34.8,34.3,8.2,7.8,20.0,59.9,11.0,20.1,33.1,36.4,77.2,13.0,28.6,78.4,14.0,28.9,38.2,3.9,78.8,16.0
"Champaign, IL",62.7,16.4,21.5,4.1,62.1,2.1,63.5,4.7,35.5,33.3,3.7,9.6,17.0,61.2,6.5,11.3,22.5,30.7,77.9,13.0,29.0,80.8,9.6,22.0,30.4,1.9,66.9,12.3
"Hollywood, FL",76.2,23.0,16.7,6.6,78.2,3.2,59.1,7.3,32.3,27.8,6.9,7.7,17.1,60.4,11.9,24.4,32.5,38.4,81.9,13.0,28.0,81.0,13.8,29.8,36.9,3.5,75.9,14.8
"Cranston, RI",81.9,26.3,16.8,7.3,80.8,2.6,70.6,7.0,41.8,33.5,6.5,11.3,16.7,74.8,9.4,9.0,31.8,34.4,83.5,13.0,26.0,,12.5,25.7,37.8,2.8,79.0,11.4
"Fort Worth, TX",67.7,20.3,17.2,4.9,69.1,2.8,58.4,5.9,36.8,29.5,5.4,9.6,19.5,54.9,11.6,24.8,29.5,34.7,78.5,13.0,33.4,80.5,12.7,30.1,37.2,3.0,73.1,17.2
"Amarillo, TX",67.2,23.8,18.1,6.2,71.6,3.0,59.5,6.6,34.9,29.6,6.4,9.2,19.3,59.0,11.0,22.8,31.6,37.4,74.3,13.0,33.5,80.0,13.1,27.7,34.1,3.2,76.4,14.5
"Houston, TX",67.7,19.1,16.2,4.8,68.2,3.0,57.2,5.6,28.2,29.1,5.6,8.8,16.5,54.2,12.1,28.5,30.4,36.9,77.2,13.0,32.6,81.7,12.9,29.5,35.8,3.1,73.2,17.8
"Hialeah, FL",75.1,21.1,13.3,5.6,72.9,4.6,45.3,7.3,19.4,17.4,8.6,7.0,15.4,50.9,16.5,42.9,33.9,41.6,82.0,13.0,30.2,81.0,17.0,46.8,33.9,4.2,79.6,18.5
"Charleston, SC",63.7,22.3,21.6,5.7,73.7,2.5,72.6,5.3,47.0,37.5,4.9,8.9,15.8,65.7,9.0,12.5,28.9,33.9,80.0,13.0,27.4,82.7,10.6,20.1,32.6,2.6,75.8,11.6
"Baldwin Park, CA",63.0,15.6,16.2,3.9,68.4,2.8,55.3,4.6,22.4,28.5,4.6,7.9,13.5,54.3,11.1,22.7,25.8,33.7,78.1,12.9,26.3,83.1,13.2,25.7,37.7,2.5,65.7,12.0
"Hampton, VA",78.2,26.5,16.7,5.8,77.2,3.0,67.8,6.5,34.3,32.7,6.0,9.8,19.4,66.3,12.2,14.6,37.6,34.6,83.7,12.9,35.3,85.6,12.3,24.4,43.0,3.6,79.0,17.1
"Everett, WA",58.2,23.8,17.1,5.6,68.1,2.8,60.3,6.6,33.8,29.8,5.6,10.1,18.3,60.2,8.6,12.4,28.6,35.9,72.4,12.9,31.4,,12.2,19.8,37.6,2.9,67.7,14.1
"Garland, TX",68.9,21.6,16.5,5.2,69.6,2.9,58.0,6.2,31.4,28.0,5.9,9.1,18.3,57.0,11.3,26.1,31.7,38.0,73.3,12.9,32.7,78.9,12.7,29.4,34.2,3.1,73.9,15.6
"Tyler, TX",69.2,24.4,16.5,6.3,70.5,3.2,60.2,6.5,32.5,29.8,6.7,9.6,18.4,51.8,12.1,22.2,33.4,37.0,76.9,12.9,37.6,78.9,13.0,27.8,35.0,3.6,77.8,16.2
"Greeley, CO",56.7,20.0,18.7,5.3,66.6,2.6,58.4,5.2,35.8,31.2,5.1,9.3,18.2,56.7,7.4,17.4,24.4,34.3,70.7,12.9,26.2,79.0,11.6,19.0,29.1,2.7,68.0,14.0
"Los Angeles, CA",65.0,17.5,16.7,4.9,72.1,2.9,61.5,5.3,28.1,33.3,4.9,8.5,14.0,58.8,10.2,17.3,26.7,32.6,79.5,12.9,26.1,85.0,12.8,22.2,36.8,2.8,67.5,11.6
"Long Beach, CA",65.5,17.3,17.0,4.8,72.8,2.7,62.7,5.2,29.1,34.8,4.7,8.7,14.2,60.2,9.7,15.4,26.5,31.9,79.6,12.9,25.8,84.7,12.2,21.1,37.4,2.7,67.2,10.6
"Richmond, CA",64.9,19.6,14.2,5.0,71.7,3.0,66.6,5.5,29.8,29.8,5.3,9.5,15.5,63.1,11.6,15.7,30.0,33.9,80.0,12.9,31.6,83.1,12.8,24.3,37.2,3.2,70.7,14.6
"Portland, ME",69.7,25.8,19.5,6.3,76.2,2.4,73.0,6.0,43.1,34.7,5.6,11.4,16.5,66.3,7.9,11.6,27.5,35.0,78.1,12.9,26.3,83.0,10.7,17.7,31.5,2.7,72.1,11.9
"Mesa, AZ",66.5,25.7,16.6,6.7,74.7,3.2,63.8,6.6,35.8,31.6,6.4,10.1,17.4,64.1,9.6,14.6,29.4,37.1,78.7,12.9,28.0,,13.0,23.4,35.5,3.2,73.4,13.2
"Tempe, AZ",63.1,17.8,19.3,4.5,67.0,2.3,64.7,4.6,37.0,33.0,4.0,9.9,15.8,65.8,6.6,12.4,21.6,30.5,80.4,12.9,24.7,,9.9,19.0,35.0,2.0,65.6,10.0
"West Palm Beach, FL",78.2,24.3,17.0,6.7,77.0,3.3,63.0,7.4,31.9,31.5,7.1,8.0,17.1,65.4,12.3,23.7,31.9,37.7,81.0,12.9,26.6,84.8,14.1,31.4,40.6,3.8,78.0,12.9
"Port St. Lucie, FL",76.9,25.2,17.1,6.9,78.1,3.2,66.4,8.3,31.3,34.6,7.7,8.2,20.2,63.4,11.8,21.2,32.3,36.7,81.2,12.8,30.6,83.6,14.4,31.4,37.0,3.7,77.8,15.1
"Warwick, RI",82.0,31.5,17.9,7.6,83.0,2.7,70.9,7.5,38.0,34.1,6.5,11.3,18.8,72.7,9.4,7.1,35.0,36.3,82.9,12.8,28.7,,12.6,22.4,35.7,2.9,81.2,11.8
"Antioch, CA",63.8,19.3,16.1,5.2,73.3,2.7,67.3,5.6,32.3,31.8,5.0,9.3,15.7,67.5,9.8,12.5,27.5,33.1,78.6,12.8,30.0,83.1,12.1,21.6,35.9,2.7,68.7,12.7
"Sunrise, FL",77.7,22.8,16.3,6.5,78.7,3.2,59.7,7.0,30.5,26.2,6.7,8.0,16.5,61.0,12.1,22.8,33.3,37.1,82.5,12.7,28.1,81.3,13.3,29.5,38.1,3.7,76.7,16.2
"Durham, NC",73.5,18.8,15.8,4.8,74.6,2.6,67.6,5.3,35.4,35.1,4.8,8.8,16.8,59.5,9.4,18.1,29.7,30.3,82.1,12.7,30.7,84.5,10.8,22.2,34.4,2.9,72.8,16.2
"Boynton Beach, FL",79.6,27.7,16.0,8.2,79.7,3.6,63.3,8.4,33.1,32.7,8.4,8.0,17.3,66.4,12.7,21.8,34.3,39.6,79.7,12.7,26.0,84.4,14.8,32.0,39.9,4.3,80.0,13.0
"Albuquerque, NM",60.2,24.8,15.4,5.8,71.2,2.9,60.0,5.5,41.8,29.4,5.6,10.4,15.9,65.9,9.3,12.2,26.5,34.7,74.4,12.6,27.7,83.5,12.9,18.7,32.3,2.9,71.0,12.5
"Topeka, KS",68.3,26.8,14.1,6.7,71.2,3.0,64.3,7.2,33.9,36.3,6.7,10.1,19.9,62.6,11.3,17.3,35.2,40.4,81.3,12.6,36.6,82.6,12.2,26.1,32.5,3.5,77.4,16.1
"Des Moines, IA",68.5,24.8,19.8,5.9,69.2,2.7,65.3,6.1,40.5,33.0,6.0,8.6,22.1,65.7,9.7,10.4,28.1,36.0,78.9,12.6,32.8,85.4,11.7,24.9,32.7,3.1,74.9,15.7
"Sioux City, IA",68.7,23.8,19.4,6.3,68.5,2.9,61.2,6.5,40.1,33.1,6.5,8.7,19.6,64.2,10.0,11.5,29.2,38.3,76.5,12.6,36.2,81.5,12.2,26.4,28.9,3.3,76.6,16.1
"Mount Vernon, NY",76.3,26.5,15.6,5.8,78.3,3.3,66.0,6.8,30.6,28.5,6.1,12.4,17.6,60.4,12.9,12.9,35.6,36.9,81.1,12.6,30.5,84.6,13.5,30.3,41.1,3.9,77.1,18.2
"Henderson, NV",70.0,23.4,17.2,6.6,77.1,2.7,62.8,6.4,37.0,30.8,6.2,8.2,16.8,67.3,10.0,12.1,26.2,34.8,74.2,12.6,23.8,80.0,12.1,20.8,38.0,2.7,73.3,10.7
"Arlington, TX",68.3,19.9,17.1,5.1,70.4,2.6,61.0,5.6,40.1,32.7,5.1,9.4,18.7,57.4,10.6,22.1,28.7,34.7,78.3,12.5,31.9,80.1,11.8,28.1,36.9,2.6,72.7,13.4
"Fairfield, CA",63.9,18.7,17.6,5.3,73.1,2.7,68.5,5.6,34.1,34.1,5.1,9.4,15.3,66.2,10.0,12.3,28.0,32.5,79.3,12.5,25.3,82.7,11.8,22.0,37.6,2.8,69.5,12.9
"Oceanside, CA",64.9,19.1,20.4,5.9,73.5,2.8,68.7,5.4,29.1,32.2,5.4,8.5,13.9,67.6,9.1,12.4,27.0,33.4,80.3,12.5,21.7,85.4,11.4,19.0,33.4,2.8,69.9,10.4
"Joliet, IL",66.5,21.8,20.3,5.2,71.5,2.7,58.0,6.1,31.9,26.2,5.3,9.7,20.5,58.2,9.5,15.8,28.4,33.3,75.6,12.5,37.6,83.7,12.7,27.9,34.8,2.8,71.3,18.7
"El Paso, TX",67.7,20.9,17.5,4.8,68.9,3.5,53.7,5.3,26.4,24.2,6.2,8.1,15.6,53.3,14.4,32.5,31.1,36.3,79.8,12.5,34.5,81.8,14.5,29.4,36.7,3.2,75.2,14.3
"Las Cruces, NM",61.1,23.9,17.0,5.7,68.1,3.2,60.1,5.8,29.4,29.7,6.2,10.3,15.4,65.3,10.9,13.9,28.1,33.0,75.8,12.5,28.8,84.4,13.4,19.9,31.5,3.1,74.4,15.9
"San Antonio, TX",68.8,21.2,17.4,4.9,70.9,3.2,58.3,5.4,30.8,29.1,5.9,8.4,15.7,55.3,12.7,28.9,29.4,37.0,77.9,12.5,37.8,82.4,14.1,30.2,35.0,3.0,75.0,15.2
"Edinburg, TX",62.0,15.6,15.9,3.6,63.8,3.0,53.1,4.6,28.6,25.9,4.9,7.6,14.4,52.6,10.9,36.4,26.7,35.0,78.6,12.5,31.2,81.6,12.2,26.9,33.0,2.5,70.3,12.8
"Danbury, CT",67.9,21.0,18.7,5.7,76.2,2.5,69.7,5.4,33.6,31.9,5.0,9.3,16.3,70.9,8.1,12.0,25.3,33.7,81.6,12.4,25.3,,11.5,21.7,36.0,2.4,70.7,9.8
"Springfield, IL",69.5,27.2,19.2,7.0,75.6,3.1,63.9,7.3,34.5,29.8,6.7,9.9,20.3,60.8,10.4,10.6,33.2,37.8,77.5,12.4,35.6,84.3,13.2,25.4,34.2,3.4,77.1,15.3
"Odessa, TX",67.5,21.7,18.2,5.4,69.5,2.9,55.8,5.8,30.9,26.9,5.9,8.8,17.8,53.4,11.2,26.9,30.7,35.6,74.5,12.4,34.6,79.5,12.5,31.6,32.8,2.9,74.7,15.1
"Grand Prairie, TX",68.4,18.9,17.6,4.5,69.6,2.6,58.3,5.2,32.0,28.2,4.9,9.0,17.7,58.0,10.4,25.7,29.0,34.6,75.3,12.4,33.1,80.3,11.7,28.2,35.4,2.6,71.7,15.4
"Broken Arrow, OK",69.5,23.9,14.9,6.3,75.5,2.5,63.5,5.9,45.3,36.0,5.5,9.4,17.0,67.2,8.6,12.2,31.5,35.5,76.1,12.4,27.5,82.4,11.7,24.0,31.9,2.6,75.3,13.6
"Federal Way, WA",61.1,22.5,16.7,5.8,70.4,2.9,63.4,5.8,38.4,33.3,5.4,9.8,14.7,65.0,9.5,12.5,28.1,35.4,76.7,12.4,26.7,,11.7,18.2,32.8,2.9,66.9,11.6
"West Jordan, UT",59.8,16.7,17.1,4.4,65.7,2.0,67.8,3.8,34.0,34.1,3.3,9.0,12.0,71.4,6.1,13.8,20.0,29.9,77.5,12.4,25.9,78.9,9.4,15.5,31.4,1.8,62.4,10.1
"Santa Rosa, CA",63.7,20.9,17.9,6.6,74.9,2.7,70.2,5.8,36.5,33.3,5.4,9.2,14.4,65.7,8.5,11.5,27.6,33.4,76.7,12.4,24.0,83.5,11.6,19.7,33.6,2.7,69.9,10.2
"Oakland, CA",67.1,19.2,17.1,5.1,73.4,3.0,67.6,5.2,30.5,29.9,5.0,9.8,15.5,60.6,11.0,13.2,28.9,30.8,80.6,12.4,25.1,83.6,12.0,21.5,37.3,3.1,71.6,13.5
"New York, NY",73.8,21.0,18.9,5.3,75.3,2.9,62.5,5.9,28.0,27.4,5.6,10.5,16.3,63.2,11.3,14.6,28.4,34.4,79.9,12.3,24.8,82.7,12.2,28.0,39.8,3.1,73.7,15.2
"Mission, TX",64.4,19.3,14.6,4.9,68.4,3.5,55.5,5.6,31.2,28.1,6.4,7.8,14.3,53.6,12.4,36.8,30.8,38.5,77.3,12.3,31.2,81.3,13.4,28.4,32.5,3.2,75.1,14.3
"Ann Arbor, MI",66.1,18.3,23.0,4.6,66.4,1.9,73.4,4.4,38.6,41.2,3.6,9.8,13.2,75.5,5.7,9.0,19.1,29.3,84.1,12.3,23.4,83.6,7.9,15.7,31.1,1.7,68.1,6.6
"San Marcos, CA",63.6,17.2,20.9,5.3,72.4,2.5,69.0,5.0,28.7,32.0,4.7,8.4,13.6,68.2,8.2,12.6,24.8,31.8,80.4,12.3,21.0,85.8,10.8,18.4,33.3,2.5,67.3,10.8
"Cape Coral, FL",75.8,26.6,18.3,7.4,79.6,3.1,65.4,8.0,36.1,34.0,7.4,7.6,17.1,63.3,10.9,19.7,31.4,36.1,78.9,12.3,27.8,82.0,13.6,27.5,33.3,3.4,78.8,13.0
"Parma, OH",73.3,28.6,18.5,7.6,77.0,2.9,64.3,8.1,38.7,32.8,7.5,9.3,22.5,70.1,9.7,9.1,32.5,35.3,74.6,12.3,27.4,81.1,12.4,24.8,34.0,3.3,80.7,16.5
"Aurora, IL",65.1,19.8,20.1,4.5,70.0,2.6,57.0,5.3,27.1,29.8,4.8,9.2,18.3,62.0,9.3,18.6,26.4,33.3,78.4,12.3,34.4,84.5,12.3,26.0,35.0,2.5,70.3,16.6
"Tracy, CA",62.1,17.4,19.7,4.7,73.3,2.4,66.8,4.8,35.7,31.7,4.3,8.8,14.2,67.2,8.6,12.3,25.8,31.2,81.2,12.3,28.0,84.8,11.1,20.6,35.6,2.2,66.0,11.9
"Anaheim, CA",63.8,16.7,16.3,4.7,70.3,2.7,63.5,5.2,36.7,30.2,4.9,8.4,14.2,60.4,10.0,17.0,25.2,33.4,78.8,12.3,24.1,81.9,12.5,21.7,34.0,2.5,67.2,12.3
"Norwalk, CA",64.6,16.7,16.8,4.5,72.1,2.8,59.2,4.8,25.0,31.0,4.8,7.9,13.0,58.7,10.6,18.9,26.0,33.0,78.5,12.3,25.8,84.2,12.5,23.1,36.9,2.6,67.3,11.1
"Hillsboro, OR",60.5,19.4,20.3,5.1,69.9,2.2,65.1,4.8,33.0,31.9,4.3,9.7,16.0,67.2,6.8,12.6,22.6,31.6,75.4,12.3,29.2,81.9,10.2,15.1,32.1,2.2,66.1,12.2
"Chicago, IL",69.4,20.7,21.5,5.0,72.7,3.1,56.9,5.8,30.9,24.6,5.3,9.9,17.6,57.5,10.9,16.4,31.5,34.0,78.5,12.2,33.0,86.0,12.4,26.4,36.0,3.3,73.2,16.7
"Suffolk, VA",77.6,27.0,16.1,6.1,80.0,2.8,65.9,6.4,40.8,33.3,5.8,9.5,19.1,67.4,11.4,13.5,37.2,35.7,82.9,12.2,33.6,85.2,11.9,24.3,41.4,3.3,79.3,15.3
"Raleigh, NC",72.7,17.4,17.7,4.8,76.1,2.3,69.1,4.6,44.2,42.0,4.2,8.5,15.6,66.8,7.8,15.6,26.8,30.0,81.7,12.2,27.9,86.8,9.2,17.9,33.1,2.4,71.5,12.1
"Palm Coast, FL",80.1,28.8,15.1,8.7,81.3,3.5,67.7,8.7,35.7,31.2,8.7,7.9,18.8,65.2,13.0,18.4,37.4,40.9,79.0,12.2,27.8,78.7,14.3,30.0,34.5,4.2,81.4,15.8
"Wichita, KS",64.9,24.1,14.8,6.2,69.6,2.9,61.0,6.6,28.5,31.3,6.5,9.7,22.3,62.8,10.3,18.0,31.8,39.3,75.2,12.2,31.3,81.9,11.8,26.9,35.5,3.2,74.9,17.7
"Coral Springs, FL",75.4,19.0,19.1,5.5,78.9,2.4,61.4,5.7,33.9,29.6,4.9,7.6,15.6,66.6,9.1,18.8,27.3,34.4,82.7,12.2,25.6,81.5,11.3,24.3,36.6,2.5,72.5,12.2
"Orem, UT",54.9,17.9,9.2,5.0,59.4,2.3,67.6,4.3,32.9,28.1,4.1,8.8,8.6,71.5,7.1,13.7,20.6,31.3,74.9,12.2,25.6,75.9,9.4,14.4,30.4,2.2,65.8,11.7
"San Angelo, TX",67.0,22.6,18.1,6.0,69.6,2.9,59.5,6.1,35.0,31.1,6.3,8.8,17.4,58.9,11.1,23.4,29.9,37.5,74.6,12.2,30.9,80.0,12.5,27.0,34.0,3.0,76.7,14.0
"Vallejo, CA",66.0,20.2,14.9,5.5,74.3,3.0,67.0,5.8,31.5,31.9,5.7,9.3,14.9,64.4,12.0,11.8,31.5,35.0,79.6,12.2,25.2,81.3,12.3,23.9,38.8,3.2,72.8,13.5
"Chino, CA",63.5,16.1,19.3,4.2,73.3,2.4,62.7,4.6,27.4,29.3,4.3,8.8,14.2,63.1,8.9,15.0,25.7,32.2,81.8,12.2,25.5,83.0,11.2,20.2,38.2,2.2,64.6,12.4
"Salt Lake City, UT",60.9,18.1,15.1,4.9,64.1,2.5,67.5,4.1,34.1,32.4,4.2,8.9,10.9,68.5,7.4,15.6,22.4,31.8,78.2,12.2,25.8,79.2,10.1,16.9,30.4,2.4,66.3,11.3
"Corpus Christi, TX",69.8,23.9,18.1,5.4,72.3,3.2,60.4,6.0,31.5,29.8,6.5,8.6,16.7,56.9,14.4,27.4,32.5,38.2,79.8,12.2,37.2,82.3,14.1,30.0,33.9,3.1,76.7,15.1
"Iowa City, IA",66.8,15.9,24.1,4.2,60.5,1.9,68.3,4.0,46.1,36.4,3.6,8.3,15.4,70.6,5.4,8.1,19.3,28.3,78.5,12.2,25.3,82.4,7.8,18.8,27.1,1.8,68.5,10.1
"Atlanta, GA",74.8,18.8,16.3,4.8,74.8,2.9,62.6,5.7,29.1,31.3,5.0,9.0,17.1,62.1,10.9,17.7,33.4,31.3,83.8,12.2,27.9,84.9,11.1,25.8,38.4,3.5,74.2,19.3
"Boise City, ID",58.4,21.6,18.4,6.0,71.6,2.4,62.0,5.0,39.6,33.3,5.1,9.1,14.1,69.0,8.0,14.5,27.8,36.0,70.5,12.1,24.8,80.4,10.2,17.9,27.8,2.5,64.8,13.0
"Davie, FL",74.7,19.4,19.0,5.8,78.0,2.5,61.5,5.8,34.4,30.3,5.3,7.3,15.3,66.2,9.2,20.0,27.0,35.2,82.3,12.1,24.7,80.9,11.4,24.8,35.3,2.6,73.0,12.0
"Nashua, NH",72.7,25.7,17.6,6.5,78.0,2.6,69.9,6.5,39.3,34.3,5.7,10.4,18.2,67.9,8.9,11.8,28.3,34.7,79.8,12.1,28.2,,11.9,22.8,35.1,2.6,74.8,16.1
"Aurora, CO",58.7,21.5,17.6,5.1,71.7,2.6,60.2,5.1,35.3,33.2,4.7,9.2,18.6,62.8,7.5,15.8,26.9,31.3,73.3,12.1,25.5,81.7,10.9,19.4,31.8,2.7,68.4,13.8
"Elgin, IL",66.2,21.1,20.2,5.1,71.7,2.7,57.3,5.7,29.8,31.8,5.2,9.1,18.0,63.3,9.6,17.8,27.4,35.1,77.6,12.1,33.1,84.1,12.3,25.6,34.4,2.6,71.8,14.3
"Lawrence, KS",61.7,15.9,20.7,4.3,62.2,2.0,64.9,4.4,33.4,36.6,3.8,9.5,16.6,67.2,5.9,13.7,20.4,28.4,80.3,12.1,26.0,81.6,8.7,17.8,29.2,1.9,68.1,10.5
"Irving, TX",67.1,17.6,17.7,4.3,67.6,2.5,57.1,5.0,31.6,27.9,4.8,8.5,16.6,58.8,9.4,25.4,27.0,33.9,73.6,12.1,30.6,79.8,11.1,26.8,33.7,2.5,69.8,15.8
"Portland, OR",60.4,19.6,20.0,5.8,71.4,2.5,67.6,5.1,35.7,28.6,4.9,9.5,16.6,70.7,7.7,9.9,24.4,33.1,75.2,12.1,22.8,82.7,10.1,14.3,30.8,2.5,69.9,12.6
"Waterloo, IA",70.5,27.0,20.9,6.7,70.4,3.0,66.0,6.5,51.9,34.5,6.7,8.8,19.7,66.4,11.2,9.8,33.1,37.5,78.8,12.1,34.9,83.1,11.7,26.7,29.9,3.6,77.8,16.1
"Vacaville, CA",63.3,19.0,20.1,5.7,75.3,2.5,70.8,5.5,35.9,36.7,5.2,9.2,15.5,70.0,9.0,10.3,27.4,32.3,79.3,12.0,25.3,83.9,11.2,19.3,36.2,2.6,68.6,10.8
