Location,Annual Checkup,Arthritis,Binge Drinking,Cancer (except skin),Cholesterol Screening,Chronic Kidney Disease,Colorectal Cancer Screening,COPD,Core preventive services for older men,Core preventive services for older women,Coronary Heart Disease,Current Asthma,Current Smoking,Dental Visit,Diabetes,Health Insurance,High Blood Pressure,High Cholesterol,Mammography,Mental Health,Obesity,Pap Smear Test,Physical Health,Physical Inactivity,Sleep <7 hours,Stroke,Taking BP Medication,Teeth Loss
"Hartford, CT",74.2,23.4,14.6,4.4,68.6,3.4,59.3,7.0,24.9,24.0,6.1,12.5,20.6,60.6,14.0,18.8,34.8,35.8,84.5,15.7,35.7,,15.4,35.1,40.9,3.8,72.1,20.3
"Springfield, MO",68.5,28.3,16.1,6.4,68.1,3.0,56.5,8.4,35.0,28.3,6.9,10.0,24.5,51.7,10.1,15.9,30.4,36.6,73.0,15.7,32.4,80.0,14.9,27.6,32.5,3.5,76.6,19.9
"Compton, CA",65.9,18.6,15.4,4.0,66.7,3.4,55.8,6.2,19.4,26.0,5.3,10.2,17.4,47.7,13.0,24.3,31.2,32.9,81.2,15.7,33.8,86.1,15.8,28.2,41.5,3.8,68.1,19.8
"Allentown, PA",68.6,28.7,17.1,5.7,68.1,3.4,55.6,7.8,33.9,28.3,7.3,10.7,21.6,54.3,12.8,18.7,33.9,36.0,77.5,15.6,36.7,80.6,15.7,31.6,39.0,3.8,74.8,24.1
"Merced, CA",62.1,19.7,16.1,4.8,65.8,3.4,61.0,7.0,27.5,24.1,6.1,9.8,17.8,51.9,11.8,19.4,28.6,33.3,79.5,15.6,28.4,81.9,15.1,28.2,37.6,3.4,68.1,19.3
"Akron, OH",74.2,29.1,15.4,6.1,69.6,3.4,57.5,9.5,26.0,26.5,7.6,11.1,26.2,54.3,12.7,12.3,36.5,36.4,76.3,15.6,35.7,82.9,15.2,32.4,42.9,4.2,78.4,21.6
"Lauderhill, FL",80.7,24.8,13.7,5.8,75.3,3.8,56.7,8.5,26.1,23.2,7.2,9.9,21.7,50.1,15.4,26.7,39.9,37.1,84.4,15.6,35.3,82.1,16.1,35.5,44.3,5.0,77.5,22.7
"Waterbury, CT",72.2,26.7,14.4,6.3,73.6,3.5,66.1,8.6,27.2,26.7,6.7,11.5,21.4,63.9,12.2,15.5,35.1,37.2,82.5,15.5,33.8,,15.3,30.0,40.3,3.9,73.6,17.9
"Schenectady, NY",73.1,25.5,18.9,6.0,72.8,3.0,64.8,8.3,35.3,26.4,6.7,12.3,23.7,58.8,11.0,12.9,31.2,35.6,77.5,15.5,31.8,83.9,15.0,28.6,40.9,3.5,73.2,18.9
"St. Louis, MO",73.7,28.8,18.6,5.5,70.3,3.3,61.9,7.8,32.7,29.7,6.4,11.4,24.9,54.6,13.0,17.9,34.0,33.0,79.3,15.5,36.7,84.9,15.4,28.8,37.7,4.2,77.5,23.3
"Buffalo, NY",75.9,28.5,18.5,5.8,72.8,3.4,58.5,8.5,29.8,27.8,7.1,12.7,24.0,58.0,13.3,13.4,36.1,34.7,82.7,15.5,36.4,85.0,15.8,32.2,42.4,4.2,75.8,22.8
"Bloomington, IN",59.7,15.6,20.0,3.7,53.8,2.0,61.9,5.2,33.6,28.5,3.8,10.9,19.3,57.8,5.8,12.5,19.6,29.3,74.6,15.5,25.8,77.5,9.6,22.9,33.0,1.9,63.2,14.2
"Lansing, MI",71.1,29.4,20.1,5.6,70.5,3.1,63.5,8.2,37.4,27.0,6.4,11.8,23.4,65.8,11.1,13.8,31.1,36.6,80.9,15.4,38.1,84.7,14.9,25.9,39.9,3.4,73.6,15.1
"Milwaukee, WI",71.7,23.1,23.1,5.0,69.7,3.2,61.7,6.6,24.5,26.2,5.8,11.0,22.4,58.7,11.9,17.9,34.0,34.4,81.1,15.4,37.2,84.8,14.0,27.7,39.2,3.7,72.3,20.2
"Hesperia, CA",63.5,21.3,17.2,5.1,71.0,3.3,58.5,7.3,25.5,26.4,6.3,10.2,18.5,54.4,11.3,17.5,30.5,36.2,80.7,15.4,29.9,82.9,15.3,25.5,39.3,3.4,67.9,19.5
"Lawton, OK",67.8,23.2,14.0,5.0,65.6,2.8,56.0,7.1,40.2,28.1,5.8,10.2,22.5,56.8,10.1,18.7,32.6,33.9,76.7,15.4,30.8,81.7,13.4,30.4,34.8,3.1,71.5,19.4
"Jonesboro, AR",69.7,25.7,14.4,6.2,70.2,2.8,62.7,7.4,41.7,26.8,6.6,9.4,21.6,58.1,9.8,11.9,33.9,36.2,75.2,15.4,35.2,,13.8,29.3,32.4,3.1,74.8,18.0
"El Cajon, CA",63.6,20.8,19.7,5.7,70.4,3.1,64.9,7.1,26.8,29.3,6.0,9.6,18.2,60.6,10.0,14.0,28.4,34.4,79.7,15.3,24.5,85.1,13.9,22.4,35.3,3.4,68.8,14.7
"Athens, GA",71.4,17.8,16.0,4.1,64.4,2.6,59.7,6.3,32.9,29.9,4.5,9.6,20.3,59.2,8.7,20.4,28.4,31.0,81.9,15.3,27.5,80.9,11.4,28.2,37.3,2.7,68.9,18.7
"Philadelphia, PA",73.7,25.7,21.0,5.4,71.2,3.3,61.9,7.0,39.2,27.8,6.3,11.6,22.5,54.7,12.2,13.9,32.9,34.6,80.6,15.3,29.3,81.3,14.6,27.1,42.2,3.9,76.4,19.1
"Warren, MI",72.2,33.4,18.6,7.6,76.2,3.4,61.7,9.9,27.8,29.5,8.0,11.4,25.7,63.5,11.6,12.6,35.6,40.3,77.1,15.3,34.0,82.9,16.0,27.4,39.1,3.9,77.3,14.9
"Lynn, MA",76.6,24.5,16.6,5.6,73.3,3.0,62.6,7.2,26.1,22.4,6.6,11.5,20.7,63.1,11.7,13.6,29.5,35.5,78.2,15.2,28.3,83.0,14.2,26.9,39.7,3.3,74.8,20.9
"Gainesville, FL",72.5,15.8,19.0,4.0,62.4,2.3,60.0,5.7,35.8,34.0,4.4,8.6,16.5,56.8,7.4,21.0,21.6,27.7,80.9,15.2,24.6,79.5,11.4,26.0,37.0,2.4,68.5,15.0
"Provo, UT",51.2,12.8,9.1,3.3,45.7,1.9,66.8,3.8,33.7,28.5,2.8,9.6,9.4,65.3,5.1,15.7,15.6,26.6,75.1,15.2,24.8,73.0,8.8,14.8,30.9,1.6,55.4,10.8
"Birmingham, AL",76.9,29.3,13.2,5.6,74.8,3.8,64.1,8.8,32.9,26.0,7.5,10.5,22.3,52.6,16.7,19.2,43.8,39.2,83.6,15.2,41.7,85.0,16.3,35.6,41.5,5.0,81.3,22.8
"Evansville, IN",69.5,31.3,16.8,6.6,71.5,3.3,63.0,9.0,33.7,30.8,8.0,11.3,25.2,58.2,11.8,13.3,33.8,37.9,75.4,15.2,36.2,80.2,15.1,31.1,36.2,4.0,77.9,21.0
"Santa Maria, CA",60.7,18.1,16.8,4.7,64.0,3.2,58.4,6.4,26.8,25.8,5.9,9.5,17.0,53.4,11.1,25.0,27.9,34.5,75.5,15.1,29.2,81.7,15.3,28.1,31.6,3.2,65.1,18.9
"South Bend, IN",67.8,28.4,17.0,6.1,69.7,3.5,58.2,8.8,32.7,26.2,7.6,11.5,25.0,55.1,13.2,16.6,36.2,37.9,76.5,15.1,38.6,79.1,15.7,32.4,40.4,4.2,76.5,23.4
"Victorville, CA",64.0,19.6,17.1,4.6,69.8,3.2,58.2,6.6,24.5,25.7,5.7,10.2,18.2,53.5,11.3,17.8,30.5,34.6,81.5,15.1,30.7,83.4,14.6,25.3,40.7,3.3,66.7,19.5
"Clarksville, TN",70.3,23.6,16.6,4.6,72.7,2.4,62.4,6.9,36.0,31.4,5.0,10.5,22.9,59.9,9.3,15.5,31.3,32.4,78.5,15.1,36.5,83.1,13.3,26.2,41.7,2.6,73.0,17.3
"Jackson, MS",79.1,27.7,11.5,5.1,71.3,3.6,57.3,7.2,30.8,24.5,6.6,10.1,21.8,52.4,14.5,21.9,43.9,34.7,79.1,15.1,43.6,88.1,14.6,32.5,40.5,4.8,79.2,25.2
